n,p,k,ph,rainfall,temperature,n_p_ratio,n_k_ratio,temp_rainfall,crop,split
25,60,100,4.82,2169.32,23.73636364,0.4098360655737705,0.24752475247524752,51491.768371524806,turmeric,train
25,60,100,5.16,1299.26,26.51818182,0.4098360655737705,0.24752475247524752,34454.012911453196,turmeric,train
50,40,20,5.02,87.2,23.106,1.2195121951219512,2.380952380952381,2014.8432000000003,rapeseed,train
80,40,40,5.68,490.74,27.6,1.951219512195122,1.951219512195122,13544.424,rice,train
100,65,70,6.42,1111.68,28.64818182,1.5151515151515151,1.408450704225352,31847.610765657602,cabbage,train
80,40,20,5.44,34.81,34.66666667,1.951219512195122,3.8095238095238093,1206.7466667827,maize,train
80,40,40,5.64,654.34,29.26666667,1.951219512195122,1.951219512195122,19150.3506688478,rice,train
50,40,20,4.94,70.11,25.6,1.2195121951219512,2.380952380952381,1794.816,rapeseed,train
150,60,90,5.06,75.32,22.676,2.459016393442623,1.6483516483516483,1707.9563199999998,potato,train
20,40,20,5.32,34.81,34.66666667,0.4878048780487805,0.9523809523809523,1206.7466667827,moong,train
25,60,100,4.94,1026.64,29.18636364,0.4098360655737705,0.24752475247524752,29963.888367369604,turmeric,train
80,40,20,5.52,510.05,33.37333333,1.951219512195122,3.8095238095238093,17022.0686649665,maize,train
80,40,40,5.32,73.47,23.562,1.951219512195122,1.951219512195122,1731.10014,jowar,train
10,20,20,6.34,1111.68,28.64818182,0.47619047619047616,0.47619047619047616,31847.610765657602,coriander,train
100,65,70,6.32,1111.68,28.64818182,1.5151515151515151,1.408450704225352,31847.610765657602,cabbage,train
100,75,50,6.4,884.5,27.65454545,1.3157894736842106,1.9607843137254901,24460.445450525,banana,train
80,40,40,5.36,490.74,27.6,1.951219512195122,1.951219512195122,13544.424,rice,train
20,40,20,5.42,1011.49,30.43,0.4878048780487805,0.9523809523809523,30779.6407,moong,train
50,40,20,5.04,122.42,18.58,1.2195121951219512,2.380952380952381,2274.5636,rapeseed,train
80,15,40,6.52,1350.025,26.01818182,5.0,1.951219512195122,35125.1959115455,brinjal,train
20,40,20,5.42,10.265748,25.76,0.4878048780487805,0.9523809523809523,264.44566848000005,moong,train
150,60,90,5.18,1026.64,29.18636364,2.459016393442623,1.6483516483516483,29963.888367369604,potato,train
80,40,20,5.32,182.5,29.2,1.951219512195122,3.8095238095238093,5329.0,maize,train
120,40,20,5.54,516.68,27.86666667,2.926829268292683,5.714285714285714,14398.1493350556,cotton,train
20,60,20,5.68,579.75,34.01,0.32786885245901637,0.9523809523809523,19717.2975,soyabean,train
150,60,90,4.82,1111.68,28.64818182,2.459016393442623,1.6483516483516483,31847.610765657602,potato,train
90,20,120,5.06,1026.64,29.18636364,4.285714285714286,0.743801652892562,29963.888367369604,sweetpotato,train
50,10,60,5.52,75.32,22.676,4.545454545454546,0.819672131147541,1707.9563199999998,garlic,train
80,40,20,5.54,1712.66,14.254999995,1.951219512195122,3.8095238095238093,24413.9682914367,maize,train
80,40,40,5.4,157.31,25.83333333,1.951219512195122,1.951219512195122,4063.8416661423,rice,train
70,40,45,5.54,169.82,14.6,1.7073170731707317,1.5217391304347827,2479.372,barley,train
75,75,120,5.0,884.5,27.65454545,0.9868421052631579,0.6198347107438017,24460.445450525,cardamom,train
50,40,20,5.12,169.82,14.6,1.2195121951219512,2.380952380952381,2479.372,rapeseed,train
120,60,65,5.9,689.88,29.03727273,1.9672131147540983,1.8181818181818181,20032.2337109724,onion,train
20,40,20,5.36,1246.715,22.6,0.4878048780487805,0.9523809523809523,28175.759,moong,train
70,40,45,5.36,169.82,14.6,1.7073170731707317,1.5217391304347827,2479.372,barley,train
80,40,20,5.44,1011.49,30.43,1.951219512195122,3.8095238095238093,30779.6407,maize,train
120,40,20,5.44,579.75,34.01,2.926829268292683,5.714285714285714,19717.2975,cotton,train
150,60,90,5.14,1098.26,15.5,2.459016393442623,1.6483516483516483,17023.03,potato,train
25,60,100,4.94,1111.68,28.64818182,0.4098360655737705,0.24752475247524752,31847.610765657602,turmeric,train
80,40,40,5.46,127.68,20.8,1.951219512195122,1.951219512195122,2655.744,rice,train
20,40,20,5.66,73.47,23.562,0.4878048780487805,0.9523809523809523,1731.10014,moong,train
20,60,20,6.1,167.38,23.56,0.32786885245901637,0.9523809523809523,3943.4727999999996,horsegram,train
80,40,20,5.34,288.3,25.46,1.951219512195122,3.8095238095238093,7340.118,maize,train
120,60,65,6.1,810.26,29.95636364,1.9672131147540983,1.8181818181818181,24272.4432029464,onion,train
100,75,50,6.57,810.26,29.95636364,1.3157894736842106,1.9607843137254901,24272.4432029464,banana,train
60,30,30,6.57,167.38,23.56,1.935483870967742,1.935483870967742,3943.4727999999996,wheat,train
80,40,20,5.38,1145.22,28.5,1.951219512195122,3.8095238095238093,32638.77,maize,train
80,40,40,5.46,15.34,27.276,1.951219512195122,1.951219512195122,418.41384,jowar,train
20,20,30,4.84,1037.32,28.08181818,0.9523809523809523,0.6451612903225806,29129.831634477596,mango,train
80,40,40,5.56,207.55,26.43333333,1.951219512195122,1.951219512195122,5486.2383326415,rice,train
100,75,50,6.48,2169.32,23.73636364,1.3157894736842106,1.9607843137254901,51491.768371524806,banana,train
120,60,65,5.84,1299.26,26.51818182,1.9672131147540983,1.8181818181818181,34454.012911453196,onion,train
120,60,65,6.12,1111.68,28.64818182,1.9672131147540983,1.8181818181818181,31847.610765657602,onion,train
50,40,20,4.98,15.34,27.276,1.2195121951219512,2.380952380952381,418.41384,rapeseed,train
80,40,40,5.54,169.82,14.6,1.951219512195122,1.951219512195122,2479.372,rice,train
50,60,30,5.54,1151.02,28.03333333,0.819672131147541,1.6129032258064515,32266.9273294966,sunflower,train
50,40,20,5.02,127.68,20.8,1.2195121951219512,2.380952380952381,2655.744,rapeseed,train
80,40,20,5.52,579.75,34.01,1.951219512195122,3.8095238095238093,19717.2975,maize,train
150,60,90,5.02,240.1,14.254999995,2.459016393442623,1.6483516483516483,3422.6254987995,potato,train
